,id
0,1293411889322627075
1,1293411875422720001
2,1293411872855793665
3,1293411852228034561
4,1293411849619279872
5,1293411845710258176
6,1293411832707907584
7,1293411826810716162
8,1293411815964045314
9,1293411815725002756
10,1293411814970028033
11,1293411813460250624
12,1293411808670146560
13,1293411804698337282
14,1293411796909469698
15,1293411789531643904
16,1293411780253818881
17,1293411766077202432
18,1293411762625056768
19,1293411748767293440
20,1293411731964751873
21,1293411729641177089
22,1293411728366039040
23,1293411680110751744
24,1293411669494833153
25,1293411657100779520
26,1293411654508490752
27,1293411653946499073
28,1293411636238155776
29,1293411619377045505
30,1293411581183762433
31,1293411577979219968
32,1293411575739473921
33,1293411574485602304
34,1293411573780885505
35,1293411569888452608
36,1293411565039804417
37,1293411548858220545
38,1293411545247092737
39,1293411518164344832
40,1293411506474819584
41,1293411501764571137
42,1293411497788358657
43,1293411493497712640
44,1293411474556071936
45,1293411467212075008
46,1293411448367046656
47,1293411434920054785
48,1293411419912916997
49,1293411419216519168
50,1293411410131603457
51,1293411397112680448
52,1293411393337618433
53,1293411381224411137
54,1293411379831902208
55,1293411374110998528
56,1293411371070001153
57,1293411361402138624
58,1293411339247861761
59,1293411338119651328
60,1293411332260233217
61,1293411323703734276
62,1293411318284693504
63,1293411302807949313
64,1293411290682028033
65,1293411290287767557
66,1293411283887259648
67,1293411277444771840
68,1293411271094816770
69,1293411270188769280
70,1293411268905197569
71,1293411268829646848
72,1293411268674465792
73,1293411258226675713
74,1293411254480957442
75,1293411238261559296
76,1293411235971641344
77,1293411235560427520
78,1293411233664819200
79,1293411224860995586
80,1293411223204134913
81,1293411223032094725
82,1293411213221666817
83,1293411212512964615
84,1293411207160922112
85,1293411197354684416
86,1293411184662609920
87,1293411177263964166
88,1293411169601028096
89,1293411162424565765
90,1293411161925234688
91,1293411158720835584
92,1293411155390627841
93,1293411148797227008
94,1293411139930513409
95,1293411135312613376
96,1293411133622087684
97,1293411133341147137
98,1293411126613405696
99,1293411113011421184
100,1293411106522722306
101,1293411100537520129
102,1293411095940485125
103,1293411090513252352
104,1293411082908741633
105,1293411078312013825
106,1293411069956890625
107,1293411064433049600
108,1293411052839870464
109,1293411043192995840
110,1293411041490206727
111,1293411026273271808
112,1293411025249873920
113,1293410997261213696
114,1293410995407220738
115,1293410992999690240
116,1293410978097295360
117,1293410973517336576
118,1293410972900552704
119,1293410965598289923
120,1293410955444064256
121,1293410942039072768
122,1293410932878643201
123,1293410906341163009
124,1293410893951197184
125,1293410893565313024
126,1293410891057307648
127,1293410890403008514
128,1293410882391744512
129,1293410870031089665
130,1293410868969869312
131,1293410868131254272
132,1293410846782173192
133,1293410814548828161
134,1293410809704599552
135,1293410788619595776
136,1293410783314026498
137,1293410780034015233
138,1293410775713878016
139,1293410769506369537
140,1293410763248467970
141,1293410760542973952
142,1293410754574548993
143,1293410747876356096
144,1293410744432828417
145,1293410743346487296
146,1293410734441783298
147,1293410730537033733
148,1293410723465314308
149,1293410712547495943
150,1293410687180591105
151,1293410646923460609
152,1293410641701675008
153,1293410633983987717
154,1293410617060020224
155,1293410615973883905
156,1293410615600525312
157,1293410603042627584
158,1293410577939755010
159,1293410577495347200
160,1293410550358007808
161,1293410527557935106
162,1293410526706401280
163,1293410517114003460
164,1293410493563101189
165,1293410483081338882
166,1293410476060053504
167,1293410474646700032
168,1293410472285417472
169,1293410466996326405
170,1293410444212940800
171,1293410442795261966
172,1293410442539343872
173,1293410435362775040
174,1293410431667593216
175,1293410431302868994
176,1293410414278184960
177,1293410394699108352
178,1293410382254616578
179,1293410357218689030
180,1293410348909957121
181,1293410334447931393
182,1293410325702873088
183,1293410317565755393
184,1293410290839642112
185,1293410286108577792
186,1293410283239510016
187,1293410273215250434
188,1293410259143479298
189,1293410239287451648
190,1293410210917355521
191,1293410206249095168
192,1293410191011020801
193,1293410187009646593
194,1293410176796626944
195,1293410168756219905
196,1293410165761257475
197,1293410159922798592
198,1293410145049776128
199,1293410129975615488
200,1293410122895507456
201,1293410117602353153
202,1293410107066208257
