,id
0,1288262962495528965
1,1288262960125825027
2,1288262942316802049
3,1288262931466117120
4,1288262918581215232
5,1288262914634330114
6,1288262913757593600
7,1288262913153794055
8,1288262911933026304
9,1288262910549139456
10,1288262902588280835
11,1288262885668458497
12,1288262875979681795
13,1288262875648339968
14,1288262870535294976
15,1288262868488593408
16,1288262861165215744
17,1288262855196848134
18,1288262853510733824
19,1288262841426948100
20,1288262841217298433
21,1288262840399298565
22,1288262837761118208
23,1288262834967719936
24,1288262821369741312
25,1288262821034287109
26,1288262816609312768
27,1288262812108824576
28,1288262807369195521
29,1288262803388801029
30,1288262799651753986
31,1288262799303626753
32,1288262798695378955
33,1288262792659767303
34,1288262779623833602
35,1288262778533355521
36,1288262772493443073
37,1288262770899783681
38,1288262767259123714
39,1288262760908955650
40,1288262759239622657
41,1288262758941642752
42,1288262753988247554
43,1288262753656942593
44,1288262745255743489
45,1288262731943104512
46,1288262726406545408
47,1288262709490913281
48,1288262694122946560
49,1288262692474687488
50,1288262690381725703
51,1288262686975950849
52,1288262679296012288
53,1288262649680138240
54,1288262640679243776
55,1288262620320010241
56,1288262616603820042
57,1288262615270137859
58,1288262605329629186
59,1288262605069594624
60,1288262588111949827
61,1288262584274235394
62,1288262577147936770
63,1288262560953688064
64,1288262558412087296
65,1288262554503000064
66,1288262554280767490
67,1288262550703005696
68,1288262550136729605
69,1288262546911305728
70,1288262544033972226
71,1288262543304163330
72,1288262542775599104
73,1288262540485513216
74,1288262534676410369
75,1288262533795713026
76,1288262530415173633
77,1288262530201051136
78,1288262529676914689
79,1288262528515145728
80,1288262518905987072
81,1288262516846604288
82,1288262511406518272
83,1288262495187107841
84,1288262495069765638
85,1288262474391629825
86,1288262472449712128
87,1288262468234428416
88,1288262456444440578
89,1288262444414984192
90,1288262442938556416
91,1288262438832373760
92,1288262434143100928
93,1288262432759132170
94,1288262425129689093
95,1288262419324768256
96,1288262411984736256
97,1288262402715328512
98,1288262402455330816
99,1288262402170068999
100,1288262399313580032
101,1288262393978593280
102,1288262393366224898
103,1288262337003245576
104,1288262336944513024
105,1288262326261551104
106,1288262286310813697
107,1288262285417472000
108,1288262284662517762
109,1288262279620960257
110,1288262277611823107
111,1288262277347475456
112,1288262270695464967
113,1288262268438757378
114,1288262267105050625
115,1288262255767891968
116,1288262254077632513
117,1288262253511348224
118,1288262250390679552
119,1288262240446160898
120,1288262237778513920
121,1288262222762987520
122,1288262212084289536
123,1288262211392200704
124,1288262210074972161
125,1288262204891045888
126,1288262201338257408
127,1288262201095094272
128,1288262197307727874
129,1288262184930349056
130,1288262182401118208
131,1288262175044317185
132,1288262173203079169
133,1288262157524774914
134,1288262153670217729
135,1288262148943040512
136,1288262142450229248
137,1288262138549567488
138,1288262134539923462
139,1288262122716135424
140,1288262120740663297
141,1288262097734860800
142,1288262095209816064
143,1288262092181704708
144,1288262087899152384
145,1288262086796156929
146,1288262079749787648
147,1288262077006536704
148,1288262068836204546
149,1288262060959121408
150,1288262052801216514
151,1288262048950804480
152,1288262032756576258
153,1288262014159159301
154,1288262012829609984
155,1288262012133421057
156,1288262006034911238
157,1288262005791449089
158,1288262002205437955
159,1288261996958191616
160,1288261986111946754
161,1288261983721095170
162,1288261981250686976
163,1288261967891828737
164,1288261966473998337
165,1288261962711916545
166,1288261939802636296
167,1288261937160163328
168,1288261934786084864
169,1288261921339256832
170,1288261920378834944
171,1288261904981307392
172,1288261901374443526
173,1288261886509608960
174,1288261873272528899
175,1288261872278548480
176,1288261870739238918
177,1288261866209177601
178,1288261863621275648
179,1288261848748326912
180,1288261846475010048
181,1288261837050576897
182,1288261822009638912
183,1288261818658349056
184,1288261789696761856
185,1288261788572749825
186,1288261779798265856
187,1288261779261456385
188,1288261775851429889
189,1288261772454043649
190,1288261770176413698
191,1288261768809127937
192,1288261768079441922
193,1288261759913078786
194,1288261759711707137
195,1288261756217851904
196,1288261748928192512
197,1288261747053232128
198,1288261746256498695
199,1288261743601430533
200,1288261738501152768
201,1288261738450878466
202,1288261736210952192
203,1288261733270925317
204,1288261725205270533
205,1288261720729952256
206,1288261716954972164
207,1288261712538415104
208,1288261701511634944
209,1288261699657699329
210,1288261698026115072
211,1288261694712619008
212,1288261691319320576
213,1288261682272309249
214,1288261680481406976
215,1288261677696397312
216,1288261672491028480
217,1288261670788308992
218,1288261669315997696
219,1288261664404574211
220,1288261664156991489
221,1288261658213785602
222,1288261655185547264
223,1288261654019538944
224,1288261643135340549
225,1288261640069292032
226,1288261629134741504
227,1288261625816981505
228,1288261622365130757
229,1288261618099511296
230,1288261590152646656
231,1288261587501895680
232,1288261578341650434
233,1288261569160372225
234,1288261568568860672
235,1288261541318365184
236,1288261540244750336
237,1288261531839401985
238,1288261527573757952
239,1288261525384421377
240,1288261516299505666
241,1288261509521346560
242,1288261496481492992
243,1288261496372428802
244,1288261491938848768
245,1288261483047067648
246,1288261482199875584
247,1288261474545094656
248,1288261465091317763
249,1288261457906487298
250,1288261452315451393
251,1288261449974861824
252,1288261449530343426
253,1288261432392507393
254,1288261428814716928
255,1288261419155296257
256,1288261413165625344
257,1288261407964893184
258,1288261398880034817
259,1288261367078760450
260,1288261366244159488
261,1288261360644743168
262,1288261358660857860
263,1288261353837387776
264,1288261353476624384
265,1288261348330295298
266,1288261347902251009
267,1288261344278405121
268,1288261344010162176
269,1288261336204337152
270,1288261329132777473
271,1288261321117630465
272,1288261311978061824
273,1288261310715777026
274,1288261304558510081
275,1288261300284542976
276,1288261300196261888
277,1288261299961552896
278,1288261295876247553
279,1288261285247963136
280,1288261283540643841
281,1288261282207080450
