,id
0,1285001456614088705
1,1285001444471398400
2,1285001401777754112
3,1285001381271580672
4,1285001330013003777
5,1285001328935211008
6,1285001327500759046
7,1285001322568101889
8,1285001281728385024
9,1285001242805260289
10,1285001242758922240
11,1285001195015122944
12,1285001194134556677
13,1285001181295779841
14,1285001172034695169
15,1285001171061690374
16,1285001171048914944
17,1285001166024318977
18,1285001159720095744
19,1285001115063418886
20,1285001094590939136
21,1285001060910694400
22,1285001034511691776
23,1285001024852365313
24,1285000990287187970
25,1285000978274672644
26,1285000973677522944
27,1285000965142097926
28,1285000930598035456
29,1285000924155584514
30,1285000911211962369
31,1285000907529293831
32,1285000905943900161
33,1285000904392028166
34,1285000902600990724
35,1285000889430876162
36,1285000885072850945
37,1285000857965084674
38,1285000853720637447
39,1285000837786411008
40,1285000829146144768
41,1285000823139823616
42,1285000820929462272
43,1285000801329524738
44,1285000795608379392
45,1285000794727755776
46,1285000760762208257
47,1285000755179597826
48,1285000752964923392
49,1285000727488679936
50,1285000717422465026
51,1285000694710378497
52,1285000694139957249
53,1285000678822121472
54,1285000656097406977
55,1285000640209485824
56,1285000633049739265
57,1285000576619741184
58,1285000575730495490
59,1285000551428698113
60,1285000528062107648
61,1285000500883095552
62,1285000477785108480
63,1285000474039648256
64,1285000456427704321
65,1285000417265541121
66,1285000395094405120
67,1285000387913818113
68,1285000382729445376
69,1285000382582853632
70,1285000369689501696
71,1285000351289147394
72,1285000349208596481
73,1285000347342131202
74,1285000309601861632
75,1285000293848055814
76,1285000289397899264
77,1285000282795962368
78,1285000270020141056
79,1285000244682465280
80,1285000213401341953
81,1285000210314194944
82,1285000185446203394
83,1285000166131421184
84,1285000144639885313
85,1285000131058847746
86,1285000121059434496
87,1285000120912580608
88,1285000118987567106
89,1285000111727099906
90,1285000100373127169
91,1285000087454617601
92,1285000077166039041
93,1285000074788044802
94,1285000068500615168
95,1285000048904794112
96,1285000048221265920
97,1285000028642140161
98,1284999997713379328
99,1284999996098711552
100,1284999979539595265
101,1284999975106224129
102,1284999974758088704
103,1284999971918376961
104,1284999970811269120
105,1284999964058247168
106,1284999948157812736
107,1284999938380910593
108,1284999921855336448
109,1284999902662098944
110,1284999886648246272
111,1284999837851713537
112,1284999835574251524
113,1284999821384798208
114,1284999808780926976
115,1284999804809027584
116,1284999783745228802
117,1284999782604382208
118,1284999765596479488
119,1284999761783713792
120,1284999754804531205
121,1284999747737128960
122,1284999733115641856
123,1284999720545460232
124,1284999719098347520
125,1284999716435103745
126,1284999702040150017
127,1284999654141239298
128,1284999639205388288
129,1284999624202149888
130,1284999595702079489
131,1284999561354907649
132,1284999523388002309
133,1284999521936629762
134,1284999509551063042
135,1284999502701768704
136,1284999463463944192
137,1284999458347012096
138,1284999434624016384
139,1284999420627517440
140,1284999378583932928
141,1284999372455899136
142,1284999352532992000
143,1284999339585216516
144,1284999332903690242
145,1284999326498988032
146,1284999325047824390
147,1284999276741791744
148,1284999252549107712
149,1284999232202711040
150,1284999232156430336
151,1284999203677024257
152,1284999186782384128
153,1284999168981979142
154,1284999166515654657
155,1284999163512590338
156,1284999148136169472
157,1284999144176791553
158,1284999110345601031
159,1284999095313145863
160,1284999095002771461
161,1284999093652160517
162,1284999081106894850
163,1284999071699046402
164,1284999069648277504
165,1284999055999791104
166,1284999019144646658
167,1284999011338981376
168,1284998990774390786
169,1284998980284416000
170,1284998979755716608
171,1284998965260419079
172,1284998945719169024
173,1284998939209588737
174,1284998931974287360
175,1284998919211094017
176,1284998901955653632
177,1284998881370091522
178,1284998873715539968
179,1284998865381466112
180,1284998860922744833
181,1284998859861700609
182,1284998859299729408
183,1284998847362740227
184,1284998846804832256
185,1284998838613417985
186,1284998837640167424
187,1284998815771222018
188,1284998807453925376
189,1284998782178992128
190,1284998777749884930
191,1284998775472295938
192,1284998770825060352
193,1284998768987910145
194,1284998768790851586
195,1284998751170506752
196,1284998746481340417
197,1284998744392572933
198,1284998730954006529
199,1284998720052838400
200,1284998718736011266
201,1284998707117789184
202,1284998704286461953
203,1284998696267141120
204,1284998683117981697
205,1284998675899588608
206,1284998666952949760
207,1284998663421390850
208,1284998658304487425
209,1284998637177786370
210,1284998636997349377
211,1284998633029619712
212,1284998621214236673
213,1284998601614204934
214,1284998594458718209
215,1284998578335866882
216,1284998575433363458
217,1284998571083743232
218,1284998567279628288
219,1284998562380742663
220,1284998559616716800
221,1284998549416153090
222,1284998540415193092
223,1284998521914036226
224,1284998519263199237
225,1284998515400286209
226,1284998485675212800
227,1284998478310105088
228,1284998445447749632
229,1284998412459548672
230,1284998393144569857
231,1284998390590386176
232,1284998341085073409
233,1284998333170421760
234,1284998326262226945
235,1284998323603111941
236,1284998318205153281
237,1284998308344279048
238,1284998292930211840
239,1284998283186888706
240,1284998274131218433
241,1284998267944595457
242,1284998266820726790
243,1284998261187596288
244,1284998232658108416
245,1284998229411667968
246,1284998229021454336
247,1284998216182882309
248,1284998209379676166
249,1284998208041578496
250,1284998190484217856
251,1284998184197070849
252,1284998175263260672
253,1284998172721516545
254,1284998161187180544
255,1284998158762868737
256,1284998145064218624
257,1284998134649610241
258,1284998133387153408
259,1284998133051568128
260,1284998124981739520
261,1284998122918346752
262,1284998102345060352
263,1284998096926236672
264,1284998094682128385
265,1284998091104555008
266,1284998086658535425
267,1284998078466912256
268,1284998068815962113
269,1284998040676265984
270,1284998030614302721
271,1284998008686497792
272,1284997975933095937
273,1284997972787433473
274,1284997956723187713
275,1284997939253977091
276,1284997929430851586
277,1284997916566982657
278,1284997892244217856
279,1284997889970909189
280,1284997888079167495
281,1284997857527947265
282,1284997848585637893
283,1284997842906615808
284,1284997838900846592
285,1284997838745870338
286,1284997820924264450
287,1284997806235643904
288,1284997794353287171
289,1284997752523546625
290,1284997742113075201
291,1284997740296957952
292,1284997734592847872
293,1284997721024233472
294,1284997708231708674
295,1284997686345830401
296,1284997681601843201
297,1284997677315493894
298,1284997671074373633
299,1284997653567172608
300,1284997647934337024
301,1284997627117961216
302,1284997614044241920
303,1284997592456114176
304,1284997591684579329
305,1284997585447641089
306,1284997578619326464
307,1284997574064328704
308,1284997572730294272
309,1284997553491079168
310,1284997551599558658
311,1284997547954667520
312,1284997527390101505
313,1284997514031226882
314,1284997509065003008
315,1284997476999733248
316,1284997474302689281
317,1284997456783126534
318,1284997449103417345
319,1284997448339873794
320,1284997443608809474
321,1284997443487256576
322,1284997430346428416
323,1284997419252539392
324,1284997412722016260
325,1284997397152768008
326,1284997389657403393
327,1284997371047358464
328,1284997335156699137
329,1284997333197955073
330,1284997326742986761
331,1284997274691604481
332,1284997247466450944
333,1284997237265891329
334,1284997231758708740
335,1284997201698095105
336,1284997192470519808
337,1284997178272800768
338,1284997168030347265
339,1284997161017659395
340,1284997150103924741
341,1284997133393952770
342,1284997131305013249
343,1284997129891708931
344,1284997127261880321
345,1284997117090684931
346,1284997110606127105
347,1284997108488167425
348,1284997093904519169
349,1284997084534525957
350,1284997074073743360
351,1284997067073400833
352,1284997043778285568
353,1284997028800368641
354,1284997022421004288
355,1284997018591600641
356,1284996972886339584
357,1284996961708449792
358,1284996957765799937
359,1284996945573019648
360,1284996938555813888
361,1284996928250535938
362,1284996911104053250
363,1284996904976371718
364,1284996902942052355
365,1284996896264724482
366,1284996893223710720
367,1284996889008648192
368,1284996874689302528
369,1284996792262819840
370,1284996735639728130
371,1284996728010280962
372,1284996706757746694
373,1284996697240875008
