,id
0,1290512783340187648
1,1290512777728196608
2,1290512769641455616
3,1290512751886909440
4,1290512716931592192
5,1290512709918666752
6,1290512707880226816
7,1290512699810557954
8,1290512687403696128
9,1290512677014507522
10,1290512652842594304
11,1290512649273389058
12,1290512645028683776
13,1290512640087920640
14,1290512634937139201
15,1290512631174852608
16,1290512630931771392
17,1290512611990294528
18,1290512598010458113
19,1290512590716665857
20,1290512576451948544
21,1290512575361245184
22,1290512571582357504
23,1290512554695905280
24,1290512545178980353
25,1290512543203696640
26,1290512535226122242
27,1290512532377964544
28,1290512505803100160
29,1290512500526665730
30,1290512489646444545
31,1290512485611638784
32,1290512464929361920
33,1290512464132501504
34,1290512463520100352
35,1290512456930873345
36,1290512456612081664
37,1290512449519706113
38,1290512414157529088
39,1290512403218804737
40,1290512359988039680
41,1290512333668843521
42,1290512289628483585
43,1290512285811630081
44,1290512264991186944
45,1290512260788494338
46,1290512250952986626
47,1290512230513930241
48,1290512227565318144
49,1290512226189586432
50,1290512217381703680
51,1290512202051358720
52,1290512190118608896
53,1290512187362959360
54,1290512173039525888
55,1290512164042625024
56,1290512154337128449
57,1290512118412767232
58,1290512103493836803
59,1290512077367283712
60,1290512064385966080
61,1290512057230655488
62,1290512046203604992
63,1290512041980104704
64,1290512033822183425
65,1290511997881081857
66,1290511995251372042
67,1290511966369275904
68,1290511965563940864
69,1290511964473454592
70,1290511959998312448
71,1290511954998689793
72,1290511948526899200
73,1290511944244293638
74,1290511941740494849
75,1290511940561723392
76,1290511900141379584
77,1290511878221754369
78,1290511845648891904
79,1290511832587747330
80,1290511821573480449
81,1290511795048906752
82,1290511792641323010
83,1290511791227916288
84,1290511789009055744
85,1290511783682166784
86,1290511778812657664
87,1290511768221962241
88,1290511740053200896
89,1290511731261755398
90,1290511729491734528
91,1290511706171551745
92,1290511679286054912
93,1290511628354465799
94,1290511621643620352
95,1290511617491382273
96,1290511590329122816
97,1290511587292221440
98,1290511576185929728
99,1290511570217435143
100,1290511565481848834
101,1290511564395761664
102,1290511557957488641
103,1290511548528517121
104,1290511503301500930
105,1290511493084123136
106,1290511451455541251
107,1290511450520379393
108,1290511450310471680
109,1290511441875873792
110,1290511439585714176
111,1290511437425790976
112,1290511429406081024
113,1290511403334291456
114,1290511397651124229
115,1290511396774514688
116,1290511396757798912
117,1290511387962245120
118,1290511378810273792
119,1290511375446360065
120,1290511354344820737
121,1290511340201807872
122,1290511332412985344
123,1290511299118395392
124,1290511291510136832
125,1290511273541505025
126,1290511270228131843
127,1290511210153234434
128,1290511200942358528
129,1290511200833482752
130,1290511167568449537
131,1290511157279809536
132,1290511148052172800
133,1290511137256034304
134,1290511121439264771
135,1290511117853372417
136,1290511087800995840
137,1290511081601867776
138,1290511057878843392
139,1290511049263898624
140,1290511045807624192
141,1290511042867470336
142,1290511041449938944
143,1290511039621021696
144,1290511029189906432
145,1290511028611055619
146,1290511019517804544
147,1290511015935975424
148,1290511010348990469
149,1290510993919848449
150,1290510986798084098
151,1290510977738276864
152,1290510968380768256
153,1290510960684421120
154,1290510943781175302
155,1290510939989725184
156,1290510912634445825
157,1290510904132374528
158,1290510888940769282
159,1290510888315654144
160,1290510869600841728
161,1290510866434023424
162,1290510857915441153
163,1290510852185927681
164,1290510847756734466
165,1290510843218722817
166,1290510839556890626
167,1290510821915672578
168,1290510815062351872
169,1290510793088196613
170,1290510781923065856
171,1290510779167338496
172,1290510749849321478
173,1290510749840945152
174,1290510747991027713
175,1290510723643092993
176,1290510718270418945
177,1290510701837144064
178,1290510700524249088
179,1290510691275743232
180,1290510690633957378
181,1290510688763482113
182,1290510624934334464
183,1290510593066074114
184,1290510589249363968
185,1290510582576119808
186,1290510575424933894
187,1290510558072958977
188,1290510558060515328
189,1290510540293328896
190,1290510534044004353
191,1290510533733621761
192,1290510532882001920
193,1290510530524848128
194,1290510529807527937
195,1290510526917701632
196,1290510512027865088
197,1290510490989469696
198,1290510484320313345
199,1290510475147370496
200,1290510455824359424
201,1290510442415247360
202,1290510424937398274
203,1290510418394230786
204,1290510400128086017
205,1290510395862466560
206,1290510369975197696
207,1290510345308602369
208,1290510340338442242
209,1290510330993315842
210,1290510316783075329
211,1290510310571302918
212,1290510307136348161
213,1290510273737117696
214,1290510269492256769
215,1290510267110096898
216,1290510223971622912
217,1290510219680915459
218,1290510219093716993
219,1290510201016082432
220,1290510198495379456
221,1290510197987749889
222,1290510191923007488
223,1290510190324920321
224,1290510186944311298
225,1290510181214728192
226,1290510170934644736
227,1290510159727321088
228,1290510096527527936
229,1290510079901478912
230,1290510075057123328
231,1290510032300158976
232,1290510032271007744
233,1290509991741403137
234,1290509984560590849
235,1290509983520415744
236,1290509981876391936
237,1290509981725233152
238,1290509971600240640
239,1290509966894391296
240,1290509952797364224
241,1290509932169592832
242,1290509924254900224
243,1290509912188030979
244,1290509911479197701
245,1290509884035706880
246,1290509859566178304
247,1290509853891284992
248,1290509843988721669
249,1290509835306446848
250,1290509834677293056
251,1290509827140018176
252,1290509788829417472
253,1290509764003344384
254,1290509758177243136
255,1290509748924755970
256,1290509741332951040
257,1290509737214255104
258,1290509724937486338
259,1290509708554416128
260,1290509704930693121
261,1290509678921699328
262,1290509672265338881
263,1290509624588873728
264,1290509621900333057
265,1290509618913792000
266,1290509618708467712
267,1290509616401416194
268,1290509607509663745
269,1290509601956225024
270,1290509598558785537
271,1290509593118834688
272,1290509573821009920
273,1290509567437152256
274,1290509564404731904
275,1290509550479650818
276,1290509544226000896
277,1290509526664265728
278,1290509517512257537
279,1290509508142182400
280,1290509508037545985
281,1290509506166710273
282,1290509504602230785
283,1290509480761991169
284,1290509479771901953
285,1290509455642238976
286,1290509428765208577
287,1290509412835004416
288,1290509409542692864
289,1290509408816914432
290,1290509372205027331
291,1290509369386233856
292,1290509358871257088
293,1290509356002410501
294,1290509308522688512
295,1290509226440298497
296,1290509204307030017
297,1290509201085587456
298,1290509200993509376
299,1290509179904565249
300,1290509163697786880
301,1290509144701562880
302,1290509137739227136
303,1290509130088583168
304,1290509115773480960
305,1290509100481155082
306,1290509098149191680
307,1290509093824868353
308,1290509087675830272
309,1290509071074746368
310,1290509046135640064
311,1290509042973016064
312,1290509027101642752
313,1290509022169374720
314,1290509019535355904
315,1290509018599915521
316,1290509014556725249
317,1290509007778541574
318,1290509004926595074
319,1290508996093173763
320,1290508990175010816
321,1290508949725351936
322,1290508918108508162
323,1290508915700989954
324,1290508907362881537
325,1290508885426688001
326,1290508867210825729
327,1290508829541781504
328,1290508828778172418
329,1290508826047729664
330,1290508794716454912
331,1290508765469515777
332,1290508757471039488
333,1290508744992813056
334,1290508720670232577
335,1290508699971321856
336,1290508656342073344
337,1290508646703652866
338,1290508636989661184
339,1290508626830843910
340,1290508625996394497
341,1290508612448600064
342,1290508601384214528
343,1290508600763248640
344,1290508587329040384
345,1290508584078385152
346,1290508578319675392
347,1290508565212471296
348,1290508564461568000
349,1290508552877027328
350,1290508550419120128
351,1290508533566443520
352,1290508522568871936
353,1290508512544665600
354,1290508505758105601
355,1290508484350545921
356,1290508440972824577
357,1290508430696943616
358,1290508423419908096
359,1290508412917350401
360,1290508412141412352
361,1290508397419388929
362,1290508387969576960
363,1290508358953209856
364,1290508354931040256
365,1290508352917606400
366,1290508349088260096
367,1290508315869564928
368,1290508311239053316
369,1290508304100163584
370,1290508285184016384
371,1290508284743516170
372,1290508281383800840
373,1290508274928951297
374,1290508269883203584
375,1290508244818042880
376,1290508233925431297
377,1290508221837320193
378,1290508210680594437
379,1290508197707554817
380,1290508164828483584
381,1290508155269586944
382,1290508152442511361
383,1290508144574107648
384,1290508130242068480
385,1290508121417199623
386,1290508105059454978
387,1290508104958767104
388,1290508075221135363
389,1290508049665400832
390,1290508043541651456
391,1290508034968608768
392,1290508018627612673
393,1290508009546948609
394,1290508001229643777
395,1290507993214332928
396,1290507979129839616
397,1290507970653106177
398,1290507934246502402
399,1290507933827190785
400,1290507912494723075
401,1290507902885728256
402,1290507898355740674
403,1290507898188173312
404,1290507895260340224
405,1290507878890188800
406,1290507874234331137
407,1290507870170001415
408,1290507868064669696
409,1290507867162677254
410,1290507838981201922
411,1290507832178155521
412,1290507829237825536
413,1290507822082465792
414,1290507804176867330
415,1290507791208189958
416,1290507788217495552
417,1290507785050841089
418,1290507772161908739
419,1290507767510261760
420,1290507756265406464
421,1290507741342183424
422,1290507714162864128
423,1290507708634890241
424,1290507697121562624
425,1290507654469738497
426,1290507637776318464
427,1290507630553825285
428,1290507610685353984
429,1290507607816495104
430,1290507597024571392
431,1290507587889369089
432,1290507584911237120
433,1290507575298011137
434,1290507547510738945
435,1290507540162203649
436,1290507539440902144
437,1290507536425029632
438,1290507495165825025
439,1290507472021516288
440,1290507465025560576
441,1290507428807802880
442,1290507421052477447
443,1290507415994208258
444,1290507332003102720
445,1290507326391062530
446,1290507324403195905
447,1290507323920781312
448,1290507322687660032
449,1290507318170394629
450,1290507314617819137
451,1290507314022121472
452,1290507294321463296
453,1290507252848381953
454,1290507248729497600
455,1290507247391571969
456,1290507239120236546
457,1290507232283697155
458,1290507230341668865
459,1290507221952892929
460,1290507218039607296
461,1290507206907924480
462,1290507204202844162
463,1290507196082425856
464,1290507177409630210
465,1290507173466763266
466,1290507171717947392
467,1290507163316547585
468,1290507138834604032
469,1290507137425211396
470,1290507118995546112
471,1290507114947817472
472,1290507100158865408
473,1290507100087451648
474,1290507077865967616
475,1290507073902567431
476,1290507069162954753
477,1290507063622356992
478,1290507062921711622
479,1290507057620107264
480,1290507050233995264
481,1290507046027005952
482,1290507035797225474
483,1290507030864834560
484,1290507014809047041
485,1290507012762214406
486,1290507003866079235
487,1290507003169779713
488,1290506996777656320
489,1290506973339774976
490,1290506964364152833
491,1290506948484509696
492,1290506933015724034
493,1290506923230597125
494,1290506922437816320
495,1290506922383364096
496,1290506917412888577
497,1290506916817444874
498,1290506914091151362
499,1290506905211883521
500,1290506886383644673
501,1290506886161354754
502,1290506859346984960
503,1290506823779282945
504,1290506799808946176
505,1290506784092766208
506,1290506783904215040
507,1290506775569915904
508,1290506766590062592
509,1290506762517438464
510,1290506758922874880
511,1290506747426344960
512,1290506721224466434
513,1290506720809295874
514,1290506715004370944
515,1290506706888212480
516,1290506704589733888
517,1290506702823931904
518,1290506698965352449
519,1290506694720724994
520,1290506692137029632
521,1290506691834982401
522,1290506677448409088
523,1290506666719555587
524,1290506666388135941
525,1290506648335912960
526,1290506629352509440
527,1290506628081442816
528,1290506619256676352
529,1290506606170574849
530,1290506590852919298
531,1290506586264342528
532,1290506566811226112
533,1290506545919221760
534,1290506534263205888
535,1290506528995319808
536,1290506520820502528
537,1290506512809578496
538,1290506511689682944
539,1290506491099787269
540,1290506489086582784
541,1290506480106577920
542,1290506477258575873
543,1290506470677651457
544,1290506406454468608
545,1290506404357459969
546,1290506402738438145
547,1290506397113696257
548,1290506393737461760
549,1290506393196339200
550,1290506387500355585
551,1290506379682181121
552,1290506375836000256
553,1290506357024710657
554,1290506352876371968
555,1290506340796956674
556,1290506330420031488
557,1290506294550573056
558,1290506246664069120
559,1290506234035150851
560,1290506222798614528
561,1290506203827597312
562,1290506196730785793
563,1290506186710753280
564,1290506176157884416
565,1290506126941806592
566,1290506112534552576
567,1290506098093547520
568,1290506092204756992
569,1290506082578763776
570,1290506077663039489
571,1290506073976107009
572,1290506069631021056
573,1290506068112678917
574,1290506061405925376
575,1290506061019934720
576,1290506045094268928
577,1290506043177553920
578,1290506040434241536
579,1290506020528300032
580,1290506008062656512
581,1290506002433888258
582,1290505993823158272
583,1290505984436297728
584,1290505970125217792
585,1290505942493274112
586,1290505941666926593
587,1290505920254840832
588,1290505914429177857
589,1290505913124585472
590,1290505908045266944
591,1290505894002917376
592,1290505886545264641
593,1290505880744742912
594,1290505862965067777
595,1290505848058286080
596,1290505846321905665
597,1290505817742094336
598,1290505803070205952
599,1290505802738933760
600,1290505730189975552
601,1290505716764151809
602,1290505697633931264
603,1290505687890526210
604,1290505683545153536
605,1290505650246684673
606,1290505643305111552
607,1290505642755493888
608,1290505640536707078
609,1290505632949436416
610,1290505627475877888
611,1290505627312295937
612,1290505623486914566
613,1290505617942052865
614,1290505593082376192
615,1290505591517925376
616,1290505589764714497
617,1290505588888150024
618,1290505531015090176
619,1290505507619377159
620,1290505497586565121
621,1290505486303932418
622,1290505486278647809
623,1290505483963392000
624,1290505482545897472
625,1290505466020335621
626,1290505465479286784
627,1290505460102180865
628,1290505454779617280
629,1290505450472058880
630,1290505440342814720
631,1290505437264121856
632,1290505434252447744
633,1290505432730083328
634,1290505425775886336
635,1290505416355409921
636,1290505390308777984
637,1290505386521292800
638,1290505362387251201
639,1290505360244080640
